,date,observer,station,latitude,longitude,row(0-3119),column(0-2599),altitude,temperature,penalty,location,distance
0,2018-01-01 00:00:00,1,11001,45.52,141.935,57,1594,26,-0.7,0,宗谷岬,0.0003091540846416799
1,2018-01-01 00:00:00,1,11016,45.415,141.6783,70,1574,3,-1.99,0,中央,1.5992604137054247e-06
2,2018-01-01 00:00:00,1,11046,45.305,141.045,83,1523,65,0.38,0,香深村,3.6577867469307573e-05
3,2018-01-01 00:00:00,1,11061,45.4033,141.8017,71,1584,8,-4.89,0,声問村（メクマ）,6.049620419771934e-05
4,2018-01-01 00:00:00,1,11076,45.335,142.17,79,1613,13,-0.58,0,浜鬼志別,6.382887091352184e-05
5,2018-01-01 00:00:00,1,11091,45.2417,141.1867,90,1534,30,-1.42,0,鴛泊（大磯）,2.40154944941284e-05
6,2018-01-01 00:00:00,1,11121,45.2483,141.8517,90,1588,23,-10.35,0,声問村,1.9794295618066808e-06
7,2018-01-01 00:00:00,1,11151,45.1783,141.1383,98,1531,14,-2.86,0,沓形（富士見町）,1.8248160975739485e-05
8,2018-01-01 00:00:00,1,11176,45.1067,141.765,107,1581,16,-3.86,0,福永,5.9762932364736884e-05
9,2018-01-01 00:00:00,1,11206,45.125,142.35,104,1628,18,-9.55,0,クッチャロ湖畔,6.392612055705886e-06
10,2018-01-01 00:00:00,1,11276,44.965,142.28,124,1622,25,-13.91,0,上駒,3.5938302475335564e-05
11,2018-01-01 00:00:00,1,11291,44.94,142.585,127,1646,7,-4.81,0,新栄町,4.022870444472241e-06
12,2018-01-01 00:00:00,1,11316,44.8417,142.48,138,1638,14,-11.79,0,歌登西町,3.12997995701406e-06
13,2018-01-01 00:00:00,1,12011,44.8283,142.0767,140,1606,22,-2.44,0,誉,0.0001408356764197859
14,2018-01-01 00:00:00,1,12041,44.7267,142.265,152,1621,40,-11.21,0,音威子府,6.230664228529125e-06
15,2018-01-01 00:00:00,1,12141,44.48,142.3417,182,1627,77,-10.19,0,西３条北,4.587253864402863e-06
16,2018-01-01 00:00:00,1,12181,44.37,142.4567,195,1636,89,-9.51,0,西９条北,5.358636873467151e-05
17,2018-01-01 00:00:00,1,12231,44.295,142.6367,204,1650,143,-8.52,0,幸町,4.36530266049373e-05
18,2018-01-01 00:00:00,1,12261,44.1867,142.4167,217,1633,135,-13.9,0,東山町,1.0969538277683114e-05
19,2018-01-01 00:00:00,1,12266,44.1183,142.595,225,1647,225,-11.15,0,朝日町中央,3.089025393221919e-05
20,2018-01-01 00:00:00,1,12301,44.0283,142.41,236,1632,150,-12.5,0,日ノ出,6.886103950769585e-06
21,2018-01-01 00:00:00,1,12386,43.87,142.26,255,1620,140,-12.4,0,江丹別町芳野,0.00016513932865460325
22,2018-01-01 00:00:00,1,12396,43.875,142.48,254,1638,175,-8.38,0,寿町,5.736683087999417e-07
23,2018-01-01 00:00:00,1,12411,43.8467,142.7533,258,1660,324,-11.21,0,共進,4.076312076563869e-05
24,2018-01-01 00:00:00,1,12442,43.7567,142.3717,269,1629,120,-8.11,0,宮前通東,4.004786322849752e-05
25,2018-01-01 00:00:00,1,12451,43.7017,142.5083,275,1640,215,-6.58,0,北町,1.0195977055674672e-05
26,2018-01-01 00:00:00,1,12501,43.67,142.4467,279,1635,211,-7.77,0,西神楽５線,0.00015186488406789504
27,2018-01-01 00:00:00,1,12512,43.6433,142.5817,282,1646,310,-6.99,0,志比内,1.409422397532586e-05
28,2018-01-01 00:00:00,1,12551,43.5883,142.4933,289,1639,250,-6.99,0,美瑛原野,4.0102821957022394e-05
29,2018-01-01 00:00:00,1,12596,43.455,142.465,305,1637,220,-7.06,0,富町,3.6711837160766344e-06
30,2018-01-01 00:00:00,1,12626,43.3333,142.4,320,1631,174,-2.5,0,扇町,6.209013938551567e-06
31,2018-01-01 00:00:00,1,12632,43.3017,142.5217,323,1641,315,-2.28,0,北麓郷,1.1646179111218865e-05
32,2018-01-01 00:00:00,1,12691,43.1683,142.5683,339,1645,350,-3.21,0,幾寅,7.836311821012772e-05
33,2018-01-01 00:00:00,1,12746,42.9783,142.395,362,1631,332,-4.03,0,中央,4.394980169739964e-05
34,2018-01-01 00:00:00,1,13061,44.8933,141.7617,132,1580,9,-2.4,0,川口,0.00018223799215457
35,2018-01-01 00:00:00,1,13086,44.7183,141.8067,153,1584,7,-3.61,0,幸和,1.5557062161627382e-06
36,2018-01-01 00:00:00,1,13121,44.5233,141.77,177,1581,27,-5.96,0,初山別,5.7325136494030594e-05
37,2018-01-01 00:00:00,1,13146,44.4283,141.4217,188,1553,38,-0.17,0,焼尻（白浜）,2.1728354210297682e-05
38,2018-01-01 00:00:00,1,13181,44.3633,141.7,196,1575,8,-4.86,0,港町,1.8101229444906087e-06
39,2018-01-01 00:00:00,1,13261,44.0483,141.8567,234,1588,30,-8.67,0,達布,1.6113655277839354e-05
40,2018-01-01 00:00:00,1,13277,43.945,141.6317,246,1570,24,-2.44,0,大町,5.2772274567893495e-05
41,2018-01-01 00:00:00,1,13311,43.8483,141.51,258,1560,20,0.1,0,暑寒町,8.72985585864362e-05
42,2018-01-01 00:00:00,1,13321,43.8533,141.76,257,1580,20,-5.4,0,幌糠町,3.0667632160561944e-05
43,2018-01-01 00:00:00,1,14026,43.5817,141.3867,290,1550,3,-0.72,0,浜益区柏木,4.35045885805041e-05
44,2018-01-01 00:00:00,1,14071,43.3967,141.4367,312,1554,5,-0.8,0,厚田区厚田,8.862111730292839e-07
45,2018-01-01 00:00:00,1,14101,43.22,141.645,333,1571,9,-3.19,0,第４５線,1.7086469140174277e-06
46,2018-01-01 00:00:00,1,14116,43.1483,141.2217,342,1537,5,-2.7,0,手稲山口,0.00012918942502496546
47,2018-01-01 00:00:00,1,14121,43.1933,141.37,336,1549,5,-3.31,0,生振,0.00029572393788878857
48,2018-01-01 00:00:00,1,14136,43.11,141.6017,346,1568,8,-3.3,0,萌えぎ野東,0.0002523071553269449
49,2018-01-01 00:00:00,1,14163,43.06,141.3283,352,1546,17,-2.2,0,北６条西,8.657067154427795e-06
50,2018-01-01 00:00:00,1,14206,42.9267,141.565,368,1565,30,-3.06,0,西島松,0.00011790367165442334
51,2018-01-01 00:00:00,1,14286,42.7717,141.4067,387,1552,290,-1.06,0,支笏湖温泉,5.840430876830005e-06
52,2018-01-01 00:00:00,1,14296,42.775,141.6917,386,1575,22,-3.29,0,美々,0.0002519228790126427
53,2018-01-01 00:00:00,1,15041,44.2817,142.1617,206,1612,255,-13.25,0,朱鞠内,2.6067946567934677e-05
54,2018-01-01 00:00:00,1,15076,44.01,142.16,238,1612,159,-12.39,0,幌加内,1.1902590358115125e-05
55,2018-01-01 00:00:00,1,15116,43.815,141.9267,262,1594,63,-7.18,0,緑町,6.004976130842456e-05
56,2018-01-01 00:00:00,1,15161,43.7183,142.0733,273,1605,55,-4.49,0,９条,0.00016506856882097712
57,2018-01-01 00:00:00,1,15231,43.595,141.7317,288,1578,100,-9.07,0,吉野,1.432744367317301e-05
58,2018-01-01 00:00:00,1,15241,43.57,141.9383,291,1595,50,-5.26,0,南滝の川,7.913896673003001e-06
59,2018-01-01 00:00:00,1,15251,43.52,142.19,297,1615,91,-1.88,0,北３条東,6.544941112931466e-07
60,2018-01-01 00:00:00,1,15311,43.33,141.6167,320,1569,50,-4.35,0,五耕地山,6.211923901268479e-05
61,2018-01-01 00:00:00,1,15321,43.3633,141.8267,316,1586,16,-4.51,0,北美唄町,4.627225545701315e-05
62,2018-01-01 00:00:00,1,15356,43.2117,141.785,334,1582,42,-3.33,0,１条東,2.2018472061792845e-05
63,2018-01-01 00:00:00,1,15431,43.0117,141.6933,358,1575,13,-4.99,0,錦町北,2.961324604961289e-06
64,2018-01-01 00:00:00,1,15442,43.0383,141.9567,355,1596,293,-1.47,0,鹿の谷,9.074458693223395e-05
65,2018-01-01 00:00:00,1,16026,43.2717,140.5633,327,1485,75,-3.75,0,美国町（大沢）,0.0013916343001545116
66,2018-01-01 00:00:00,1,16061,43.145,140.4233,342,1473,50,1.59,0,神恵内村（ブイダウス山ノ上）,3.0866774940218254e-06
67,2018-01-01 00:00:00,1,16076,43.1817,140.7583,338,1500,20,-3.29,0,豊丘町,0.0002498133847283667
68,2018-01-01 00:00:00,1,16091,43.1817,141.015,338,1521,25,-1.27,0,信香町,1.2979606050169928e-06
69,2018-01-01 00:00:00,1,16156,42.98,140.6033,362,1488,15,2.58,0,南幌似,0.0001821013856920626
70,2018-01-01 00:00:00,1,16206,42.81,140.5417,382,1483,39,1.59,0,豊国,5.506311539531988e-05
71,2018-01-01 00:00:00,1,16217,42.9,140.7567,371,1500,176,1.69,0,北１条東,4.000730618093806e-07
72,2018-01-01 00:00:00,1,16252,42.795,140.2233,384,1457,33,2.98,0,矢追町,4.753374486468095e-05
73,2018-01-01 00:00:00,1,16281,42.775,140.88,386,1510,440,0.66,0,美原,9.822215111253736e-06
74,2018-01-01 00:00:00,1,16286,42.7933,140.9483,384,1515,264,-1.21,0,伏見,8.127940932242852e-06
75,2018-01-01 00:00:00,1,16321,42.6633,140.31,400,1464,27,2.64,0,黒松内,2.574260465436635e-05
76,2018-01-01 00:00:00,1,17036,44.58,142.9633,170,1677,14,-6.28,0,雄武（本町）,4.8494662841294605e-06
